"","W8"
"1",-1276.60723639743
"2",836.618757200577
"3",-2626.63852247969
"4",1166.40992044918
"5",717.622667276367
"6",-796.174257660767
"7",394.207808828801
"8",-956.194907624736
"9",754.238392126012
"10",94.2114289858312
"11",-2133.9728887174
"12",972.670916934492
"13",-1783.15135518709
"14",957.935644804313
"15",-253.46036448086
"16",1343.27542557347
"17",1202.97245561608
"18",208.04220928292
"19",-40.543359601834
"20",-153.932413990438
"21",751.692894992453
"22",-456.809348416518
"23",287.191325661755
"24",886.496342307893
"25",258.017946968441
"26",-238.39158416406
"27",8.4670129570106
"28",741.911714125298
"29",-598.61722341899
"30",311.070686405672
"31",-2921.97436215683
"32",1081.08799419779
